Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
BloodPressure,Success,7,0,2024-01-23 15:54:02 -0500,2024-01-23 16:08:22 -0500,0:00:24
TutorialSUT_script,Success,9,0,2024-01-23 13:38:27 -0500,2024-01-23 14:54:38 -0500,0:00:09
Primary,Success,5,0,2024-01-23 14:19:54 -0500,2024-01-23 14:47:29 -0500,0:00:08
